Symbol,Description
AAPL,Apple Inc.
GOOGL,Alphabet Inc. (Google)
AMZN,Amazon.com Inc.
MSFT,Microsoft Corporation
FB,"Facebook, Inc."
TSLA,"Tesla, Inc."
NVDA,NVIDIA Corporation
AMD,"Advanced Micro Devices, Inc."
NFLX,"Netflix, Inc."
PYPL,"PayPal Holdings, Inc."
ADBE,Adobe Inc.
CRM,"Salesforce.com, Inc."
ZM,"Zoom Video Communications, Inc."
SQ,"Square, Inc."
TWTR,"Twitter, Inc."
INTC,Intel Corporation
IBM,IBM Corporation
CSCO,"Cisco Systems, Inc."
ORCL,Oracle Corporation
QCOM,Qualcomm Incorporated
UBER,"Uber Technologies, Inc."
LYFT,"Lyft, Inc."
SNAP,Snap Inc.
DBX,"Dropbox, Inc."
DOCU,"DocuSign, Inc."
BABA,Alibaba Group Holding Limited
TCEHY,Tencent Holdings Limited
MPNGF,Meituan
JD,"JD.com, Inc."
BIDU,"Baidu, Inc."
PDD,Pinduoduo Inc.
NIO,NIO Inc.
XIACF,Xiaomi Corporation
KUASF,Kuaishou Technology
DIDI,Didi Global Inc.
ASC,ASOS plc
RMV,Rightmove plc
OCDO,Ocado Group plc
JET,Just Eat Takeaway.com NV
KGF,Kingfisher plc
SGE,Sage Group plc
AVV,AVEVA Group plc
AUTO,Auto Trader Group plc
THG,The Hut Group Limited
TRN,Trainline plc
ROO,Deliveroo Holdings plc
FLTR,Flutter Entertainment plc
WISE,Wise plc
MOON,Moonpig Group plc
